"traffic_source","traffic_medium","device_category","total_sessions","view_item","add_to_cart","begin_checkout","purchases","conversion_rate_pct","total_revenue"
"google","organic","desktop","18182","4352","358","714","203","1.12","16431.00"
"Direct","Unknown","desktop","13921","3403","271","571","196","1.41","17597.00"
"google","organic","mobile","12804","3165","247","577","186","1.45","19649.00"
"Unknown","Unknown","desktop","12578","3064","281","604","236","1.88","20138.00"
"Direct","Unknown","mobile","9958","2470","194","433","151","1.52","14025.00"
"Unknown","Unknown","mobile","8608","2143","191","389","162","1.88","15269.00"
"Unknown","referral","desktop","5871","1470","129","266","98","1.67","9702.00"
"shop.googlemerchandisestore.com","referral","desktop","5130","1311","113","266","114","2.22","10599.00"
"Unknown","referral","mobile","4226","1070","97","192","70","1.66","5498.00"
"shop.googlemerchandisestore.com","referral","mobile","3684","950","91","188","85","2.31","6986.00"
"google","cpc","desktop","2463","644","58","104","32","1.30","1968.00"
"google","cpc","mobile","1760","435","36","69","21","1.19","1289.00"
"Unknown","organic","desktop","1606","377","34","54","16","1.00","1143.00"
"Unknown","organic","mobile","1117","267","25","43","12","1.07","1026.00"
"google","organic","tablet","732","182","15","29","7","0.96","994.00"
"Direct","Unknown","tablet","515","111","7","25","7","1.36","337.00"
"Unknown","Unknown","tablet","481","125","13","25","11","2.29","544.00"
"Unknown","referral","tablet","233","57","8","8","2","0.86","208.00"
"shop.googlemerchandisestore.com","referral","tablet","224","78","8","13","7","3.13","857.00"
"google","cpc","tablet","97","25","1","3","0","0.00","0.00"
"Unknown","organic","tablet","74","18","1","2","0","0.00","0.00"
