"main_country","avg_ltv","avg_total_orders","total_sessions","view_item","add_to_cart","begin_checkout","purchases","conversion_rate_pct","total_revenue","avg_order_value"
"United States","4.20","0.06","45784","11297","991","2039","712","1.56","64443.00","90.51"
"India","4.18","0.06","9862","2472","215","417","154","1.56","14304.00","92.88"
"Canada","4.74","0.06","7691","1959","170","341","135","1.76","12591.00","93.27"
"United Kingdom","3.99","0.05","3307","789","57","129","40","1.21","3410.00","85.25"
"Spain","8.02","0.12","2041","469","38","103","31","1.52","3014.00","97.23"
"Turkey","8.85","0.13","1057","288","23","46","19","1.80","2894.00","152.32"
"China","3.84","0.04","1705","419","34","66","22","1.29","2691.00","122.32"
"Japan","5.32","0.06","1407","322","21","55","20","1.42","2387.00","119.35"
"Italy","6.33","0.03","1450","383","33","51","15","1.03","2205.00","147.00"
"France","3.05","0.06","2070","476","47","93","39","1.88","2171.00","55.67"
"Netherlands","4.65","0.08","1222","315","23","65","20","1.64","1738.00","86.90"
"Mexico","5.74","0.07","879","231","20","39","14","1.59","1716.00","122.57"
"Malaysia","5.29","0.05","577","128","13","32","14","2.43","1716.00","122.57"
"South Korea","4.05","0.07","1276","285","27","52","22","1.72","1628.00","74.00"
"Germany","2.58","0.04","1867","418","26","77","24","1.29","1581.00","65.88"
"Singapore","3.02","0.05","1303","310","28","58","20","1.53","1434.00","71.70"
"Brazil","5.10","0.06","1033","248","22","58","18","1.74","1405.00","78.06"
"Taiwan","2.82","0.06","1697","447","36","75","25","1.47","1372.00","54.88"
"Ireland","5.30","0.05","585","145","17","30","13","2.22","1342.00","103.23"
"Australia","4.47","0.06","1016","256","21","39","13","1.28","1174.00","90.31"
"Poland","3.23","0.07","870","209","15","46","16","1.84","1152.00","72.00"
"Pakistan","7.11","0.07","461","131","6","31","9","1.95","1007.00","111.89"
"Peru","5.91","0.15","481","148","13","26","12","2.49","1005.00","83.75"
"Vietnam","9.60","0.13","483","122","9","27","13","2.69","965.00","74.23"
"Hong Kong","4.35","0.12","672","199","10","31","12","1.79","947.00","78.92"
"Greece","9.70","0.08","397","88","6","17","6","1.51","919.00","153.17"
"Thailand","9.58","0.10","457","108","11","26","11","2.41","906.00","82.36"
"Russia","2.69","0.07","696","178","11","29","12","1.72","895.00","74.58"
"Indonesia","2.15","0.03","971","242","13","29","7","0.72","707.00","101.00"
"Israel","4.45","0.07","469","101","12","20","8","1.71","672.00","84.00"
NULL,"2.17","0.06","831","188","16","35","14","1.68","615.00","43.93"
"Philippines","4.81","0.07","489","120","8","17","6","1.23","584.00","97.33"
"Finland","22.70","0.07","165","47","5","7","3","1.82","561.00","187.00"
"Nigeria","14.39","0.12","171","44","4","9","5","2.92","551.00","110.20"
"Ukraine","7.85","0.02","358","77","4","13","2","0.56","493.00","246.50"
"Colombia","3.55","0.07","465","119","13","18","10","2.15","451.00","45.10"
"Denmark","3.67","0.04","320","81","7","13","5","1.56","395.00","79.00"
"Portugal","1.98","0.03","422","87","5","16","5","1.18","383.00","76.60"
"Sweden","1.08","0.02","558","135","13","23","6","1.08","308.00","51.33"
"Belgium","1.87","0.06","421","111","13","19","9","2.14","307.00","34.11"
"Austria","6.04","0.09","278","82","10","15","7","2.52","291.00","41.57"
"Saudi Arabia","3.96","0.06","218","51","4","12","4","1.83","288.00","72.00"
"Kuwait","16.97","0.14","57","17","0","4","1","1.75","246.00","246.00"
"United Arab Emirates","1.92","0.01","337","86","4","14","2","0.59","232.00","116.00"
"Kazakhstan","5.02","0.05","62","14","1","2","2","3.23","221.00","110.50"
"Ecuador","2.45","0.02","84","21","0","3","2","2.38","213.00","106.50"
"Morocco","9.55","0.08","168","37","7","7","2","1.19","212.00","106.00"
"Slovakia","1.83","0.01","115","19","0","3","1","0.87","211.00","211.00"
"Bahrain","25.75","0.13","16","7","0","2","1","6.25","206.00","206.00"
"Dominican Republic","8.83","0.13","60","18","3","2","2","3.33","204.00","102.00"
"Bulgaria","2.03","0.06","124","36","1","4","2","1.61","204.00","102.00"
"Lebanon","10.70","0.11","37","7","0","2","2","5.41","198.00","99.00"
"Romania","1.92","0.03","246","67","8","9","3","1.22","187.00","62.33"
"Egypt","1.24","0.02","207","45","2","10","3","1.45","181.00","60.33"
"Switzerland","1.99","0.05","555","124","11","15","3","0.54","164.00","54.67"
"Hungary","1.07","0.01","148","42","3","6","2","1.35","159.00","79.50"
"Costa Rica","3.00","0.08","51","14","3","7","3","5.88","153.00","51.00"
"New Zealand","3.57","0.05","137","40","4","9","2","1.46","147.00","73.50"
"Argentina","1.08","0.01","275","66","7","9","2","0.73","138.00","69.00"
"Czechia","2.04","0.04","267","60","5","9","3","1.12","133.00","44.33"
"Sri Lanka","2.70","0.09","178","38","3","7","4","2.25","132.00","33.00"
"Slovenia","4.74","0.09","78","17","0","2","2","2.56","126.00","63.00"
"Malta","12.86","0.14","29","7","0","1","1","3.45","117.00","117.00"
"Macao","32.67","0.67","18","5","1","1","1","5.56","98.00","98.00"
"Guatemala","4.94","0.06","33","10","1","1","1","3.03","84.00","84.00"
"Bangladesh","2.05","0.05","206","45","4","10","2","0.97","84.00","42.00"
"Georgia","2.47","0.12","57","11","1","2","2","3.51","81.00","40.50"
"Tunisia","3.02","0.04","53","17","2","5","1","1.89","80.00","80.00"
"Kenya","1.06","0.03","68","21","0","6","2","2.94","72.00","36.00"
"Palestine","5.25","0.08","60","18","4","2","1","1.67","63.00","63.00"
"Mongolia","3.79","0.07","28","6","0","1","1","3.57","55.00","55.00"
"Chile","1.15","0.06","232","51","4","7","2","0.86","54.00","27.00"
