"customer_id","main_country","lifetime_value","total_orders","total_sessions","total_purchases","total_revenue","conversion_rate_pct"
"12306432.7939489449","Italy","1170","1","5","1","1170.00","20.00"
"51248671.8133898155","Canada","998","1","4","1","998.00","25.00"
"12291446.3815334458","United States","976","7","7","4","976.00","57.14"
"41474740.1017155695","United States","904","2","3","1","904.00","33.33"
"78221431.2724111930","Canada","857","1","3","1","857.00","33.33"
"39388951.3688006674","United States","806","1","1","1","806.00","100.00"
"10295267.8818269139","United States","794","6","5","3","794.00","60.00"
"71706603.2631255790","Spain","768","12","8","2","768.00","25.00"
"63177378.7681474242","United States","744","4","3","1","744.00","33.33"
"5113443.5387152232","United States","718","1","0",NULL,NULL,NULL
"7019543.7153257093","Turkey","708","4","2","1","708.00","50.00"
"2768703.4866675938","United States","704","2","2","1","704.00","50.00"
"13141816.1294900403","United States","680","2","9","1","680.00","11.11"
"26064119.0281069258","United States","678","2","1","1","678.00","100.00"
"30220372.7620678894","United Kingdom","646","2","6","1","646.00","16.67"
"33534334.2982237665","United States","618","2","3","1","618.00","33.33"
"87100826.2061583108","India","605","1","2","1","605.00","50.00"
"48879002.2084859201","United States","588","1","1","1","588.00","100.00"
"7285756326.1533513847","India","570","2","2","1","570.00","50.00"
"78499362.4704274874","United States","540","2","2","1","540.00","50.00"
"1279990.2790569705","United States","532","2","2","2","532.00","100.00"
"88827381.9303945281","Malaysia","526","2","2","1","526.00","50.00"
"3938933.9449134391","Finland","522","1","7","1","522.00","14.29"
"45732822.6958771748","United States","514","1","7","1","514.00","14.29"
"8156646657.1507119761","Canada","508","2","5","1","508.00","20.00"
"51608821.0291355400","United States","490","2","7","1","401.00","14.29"
"54019036.7189560758","United States","490","2","1","1","490.00","100.00"
"38970589.1095437937","Ireland","477","1","3","1","477.00","33.33"
"35710256.3477753994","Ukraine","474","1","6","1","474.00","16.67"
"2049470.1567030647","Greece","470","1","3","1","470.00","33.33"
"91694984.1982284598","Canada","461","4","4","3","461.00","75.00"
"47567788.3779803485","Turkey","456","12","6","1","456.00","16.67"
"1482564.3987701428","United States","453","3","10","3","453.00","30.00"
"5637710.4936907752","Mexico","452","4","2","1","452.00","50.00"
"1440737.0883647632","Canada","450","9","2","1","450.00","50.00"
"7680193331.8740202405","Canada","443","1","2","1","443.00","50.00"
"80921507.1393350408","India","438","5","8","2","438.00","25.00"
"30675676.3150878065","United States","424","2","5","1","424.00","20.00"
"79509844.1081277926","India","420","6","1","1","420.00","100.00"
"4376619.9958221943","China","408","2","3","1","408.00","33.33"
"9431683.5830577678","United States","396","2","1","1","396.00","100.00"
"5299488.0522490006","Italy","390","3","5","3","390.00","60.00"
"32820105.2111076078","Canada","386","2","2","1","386.00","50.00"
"36794743.0115266107","India","384","2","4","1","384.00","25.00"
"3327202.0943712796","Hong Kong","378","5","3","2","378.00","66.67"
"73714607.3371536902","United States","377","1","4","1","377.00","25.00"
"59283995.2508616440","United States","374","2","3","2","374.00","66.67"
"70274582.7964868916","United States","370","2","2","1","370.00","50.00"
"80208775.3915875119","Vietnam","360","4","8","3","360.00","37.50"
"81834479.5125091790","United States","359","2","2","1","359.00","50.00"
"38420537.7216639441","Brazil","354","2","9","1","354.00","11.11"
"5945718.9383173023","United Kingdom","354","1","5","1","354.00","20.00"
"53709875.3635794172","United States","353","2","1","1","353.00","100.00"
"3282203.4038192177","United States","352","2","2","1","352.00","50.00"
"28202253.7064162636","India","344","2","2","1","344.00","50.00"
"31825674.2113685011","Netherlands","336","3","5","1","450.00","20.00"
"81335886.8473727587","Australia","336","2","4","1","336.00","25.00"
"8579252.3506286297","United States","330","2","2","1","330.00","50.00"
"5373799.6097004022","China","328","2","1","1","328.00","100.00"
"49288108.7792907743","India","325","1","3","1","325.00","33.33"
"6488582.8788491425","China","322","2","5","1","322.00","20.00"
"7254379.8573622074","South Korea","318","4","7","3","318.00","42.86"
"44208623.4340317802","Canada","317","3","5","2","317.00","40.00"
"2541331.2931528712","Taiwan","311","1","3","1","311.00","33.33"
"3216886.8311598059","Turkey","305","1","2","1","305.00","50.00"
"5558273.2492198100","Spain","305","1","11","1","305.00","9.09"
"9073224.2742948399","India","305","1","6","1","305.00","16.67"
"2992162.7816495834","Greece","300","3","7","2","300.00","28.57"
"48981361.3028514075","United States","299","1","6","1","299.00","16.67"
"8305679.2059616518","Canada","299","1","1","1","299.00","100.00"
"39602761.4128729087","Philippines","298","2","1","1","298.00","100.00"
"64451489.6117020616","United States","298","1","2","1","298.00","50.00"
"9134268.2677185739","United States","298","2","7","1","298.00","14.29"
"2897030438.4111142859","Ireland","292","1","2","1","292.00","50.00"
"1561271.7182118121","China","290","2","1","1","290.00","100.00"
"71563215.6886463640","Japan","288","1","4","1","288.00","25.00"
"5607144.6246327246","Japan","284","2","4","1","284.00","25.00"
"6445892.8785219212","United States","284","2","5","1","284.00","20.00"
"2355616.9460032382","Japan","280","1","1","1","280.00","100.00"
"65608889.8290462049","United States","279","1","2","1","279.00","50.00"
"98020186.6825178467","Germany","274","2","4","2","274.00","50.00"
"23188793.3504076068","Canada","272","1","3","1","272.00","33.33"
"2314652.7895916826","United States","270","1","6","1","270.00","16.67"
"39816785.0776255763","United States","266","2","2","1","266.00","50.00"
"6513698.9723353874","United States","266","2","4","1","266.00","25.00"
"80825724.4005939752","United States","266","1","2","1","266.00","50.00"
"1415699.2356865981","Japan","265","1","2","1","265.00","50.00"
"56795799.9574176777","United States","265","1","4","1","265.00","25.00"
"34490273.5966302679","India","264","6","2","1","264.00","50.00"
"72967154.2008054722","United States","264","2","1","1","264.00","100.00"
"3018471.2187154322","India","262","3","9","2","262.00","22.22"
"44948793.1646090451","India","262","1","3","1","262.00","33.33"
"8263478975.0153803823","Pakistan","260","2","1","1","260.00","100.00"
"83739349.8729103328","United States","259","2","3","2","259.00","66.67"
"3327716.6139481359","Spain","257","3","2","2","257.00","100.00"
"75294747.2712173356","United States","256","4","8","1","256.00","12.50"
