"traffic_source","traffic_medium","main_country","sessions","purchases","revenue","avg_ltv","avg_total_orders"
"google","organic","United States","13967","178","16697.00","3.48","0.04"
"Unknown","Unknown","United States","9515","184","15956.00","5.22","0.07"
"Direct","Unknown","United States","10659","147","13086.00","3.87","0.05"
"Unknown","referral","United States","4582","86","8518.00","4.90","0.06"
"shop.googlemerchandisestore.com","referral","United States","3947","79","7455.00","6.16","0.08"
"Unknown","Unknown","Canada","1633","34","3637.00","6.58","0.07"
"google","organic","India","3017","40","3571.00","2.94","0.05"
"Unknown","Unknown","India","2073","32","3458.00","5.40","0.07"
"google","organic","Canada","2350","31","3308.00","3.91","0.05"
"Direct","Unknown","India","2299","31","3165.00","3.36","0.04"
"shop.googlemerchandisestore.com","referral","India","862","27","2602.00","8.30","0.11"
"Direct","Unknown","Canada","1756","28","2352.00","4.28","0.06"
"Unknown","referral","Canada","751","18","1679.00","7.21","0.06"
"google","cpc","United States","1862","24","1618.00","2.68","0.04"
"google","organic","Italy","459","3","1299.00","3.53","0.02"
"Unknown","referral","United Kingdom","321","7","1248.00","4.25","0.04"
"shop.googlemerchandisestore.com","referral","Canada","672","16","1189.00","4.76","0.09"
"Unknown","organic","United States","1252","14","1113.00","2.50","0.03"
"google","organic","Ireland","185","6","1082.00","6.48","0.05"
"Unknown","Unknown","Spain","448","7","1037.00","11.80","0.18"
"Direct","Unknown","Spain","479","8","948.00","6.49","0.11"
"Direct","Unknown","Turkey","238","4","933.00","7.65","0.07"
"Unknown","Unknown","Mexico","190","6","923.00","15.16","0.16"
"Unknown","Unknown","United Kingdom","718","14","911.00","5.88","0.11"
"Unknown","Unknown","Turkey","238","8","894.00","11.30","0.18"
"google","organic","Turkey","300","5","888.00","5.29","0.05"
"Direct","Unknown","France","509","11","851.00","2.74","0.05"
"google","organic","China","500","7","849.00","3.21","0.03"
"Direct","Unknown","Germany","442","11","803.00","2.46","0.05"
"Unknown","Unknown","China","349","3","786.00","5.21","0.04"
"Unknown","referral","India","939","14","774.00","5.63","0.08"
"Direct","Unknown","Netherlands","319","6","761.00","6.66","0.08"
"google","organic","Japan","442","6","754.00","4.28","0.06"
"Direct","Unknown","China","404","4","690.00","2.11","0.02"
"google","organic","South Korea","395","7","675.00","3.84","0.06"
"Unknown","Unknown","Malaysia","109","3","656.00","6.31","0.05"
"Direct","Unknown","Greece","104","3","642.00","15.28","0.09"
"shop.googlemerchandisestore.com","referral","Brazil","81","6","631.00","17.35","0.19"
"google","organic","Peru","150","6","608.00","4.60","0.11"
"Unknown","Unknown","France","424","12","603.00","4.87","0.09"
"google","organic","Spain","606","9","578.00","7.67","0.10"
"google","organic","Israel","142","5","554.00","5.24","0.08"
"google","cpc","India","415","8","550.00","2.07","0.04"
"Unknown","Unknown","Finland","38","2","535.00","27.82","0.08"
"shop.googlemerchandisestore.com","referral","United Kingdom","270","5","517.00","5.90","0.05"
"google","organic","United Kingdom","1001","7","506.00","2.64","0.03"
"Unknown","Unknown","Netherlands","220","5","481.00","5.11","0.10"
"Direct","Unknown","Ukraine","91","1","474.00","10.42","0.02"
"google","organic","Australia","316","4","451.00","5.08","0.05"
"Direct","Unknown","Poland","226","5","450.00","4.23","0.08"
"Direct","Unknown","Taiwan","420","5","425.00","1.80","0.04"
"Unknown","Unknown","South Korea","253","5","422.00","6.68","0.11"
"shop.googlemerchandisestore.com","referral","Taiwan","159","5","417.00","6.92","0.08"
"Unknown","Unknown","Germany","412","6","387.00","3.82","0.06"
"google","organic","France","608","10","385.00","2.05","0.05"
"shop.googlemerchandisestore.com","referral","Italy","141","4","384.00","7.91","0.08"
"Direct","Unknown","Malaysia","139","3","381.00","6.24","0.06"
"shop.googlemerchandisestore.com","referral","Hong Kong","57","2","372.00","10.53","0.30"
"google","organic","Vietnam","134","3","360.00","9.05","0.10"
"shop.googlemerchandisestore.com","referral","Japan","126","2","356.00","5.19","0.06"
"Unknown","referral","Japan","123","2","351.00","3.48","0.04"
"Unknown","Unknown","Thailand","86","4","344.00","13.77","0.14"
"shop.googlemerchandisestore.com","referral","Philippines","44","2","336.00","13.50","0.16"
