"session_id","customer_id","traffic_sk","device_category","is_session_start","is_view_item","is_add_to_cart","is_begin_checkout","is_purchase","session_revenue"
"17626","86551853.1921756782","b5abf8bccbd611e523d598fae754a8fb","desktop",1,1,0,0,0,"0"
"290387","7409906.8207111942","fb563a3b2dc0d4011a0c7adf050dd9a5","desktop",1,0,0,0,0,"0"
"343144","46389132.2224393659","b5abf8bccbd611e523d598fae754a8fb","desktop",1,0,0,0,0,"0"
"353517","4955224.0560585937","fb563a3b2dc0d4011a0c7adf050dd9a5","desktop",1,1,1,0,0,"0"
"365440","3982196.7715423005","b5abf8bccbd611e523d598fae754a8fb","mobile",1,1,0,0,0,"0"
"599945","7406603.9308606487","4b34860d080534568e329f52c0f1867e","desktop",1,0,0,0,0,"0"
"649517","90360603.9143879128","fb563a3b2dc0d4011a0c7adf050dd9a5","mobile",1,0,0,0,0,"0"
"869551","29191794.5379603769","b5abf8bccbd611e523d598fae754a8fb","tablet",1,0,0,0,0,"0"
"985178","82400392.9908324838","74ec940a339ccaac6f472c882d98e696","mobile",1,0,0,0,0,"0"
"1093198","3018342.3812571798","fb563a3b2dc0d4011a0c7adf050dd9a5","desktop",1,0,0,0,0,"0"
"1127059","7186879.8446139395","4b34860d080534568e329f52c0f1867e","desktop",1,0,0,0,0,"0"
"1230384","72818515.1420689486","b5abf8bccbd611e523d598fae754a8fb","mobile",1,1,0,0,0,"0"
"1338916","7808026.4767161184","3e06a0960cfed1f07820cc9c7ffb3166","mobile",1,0,0,0,0,"0"
"1613377","8216606.4878065960","fb563a3b2dc0d4011a0c7adf050dd9a5","desktop",1,1,0,0,0,"0"
"1645711","8601564.5752551990","74ec940a339ccaac6f472c882d98e696","desktop",1,0,0,0,0,"0"
"1654815","54499480.0665667453","3e06a0960cfed1f07820cc9c7ffb3166","mobile",1,0,0,0,0,"0"
"1780462","2284601.3104760671","b5abf8bccbd611e523d598fae754a8fb","desktop",1,0,0,0,0,"0"
"1941535","9707831.4174158200","fb563a3b2dc0d4011a0c7adf050dd9a5","mobile",1,0,0,0,0,"0"
"1979638","1176889.8146401251","b5abf8bccbd611e523d598fae754a8fb","desktop",1,1,0,0,0,"0"
"2104728","75216257.2625435503","b5abf8bccbd611e523d598fae754a8fb","desktop",1,0,0,0,0,"0"
"2616625","10651079.5781048741","74ec940a339ccaac6f472c882d98e696","desktop",1,0,0,0,0,"0"
"2653267","11902312.0144094265","74ec940a339ccaac6f472c882d98e696","mobile",1,0,0,0,0,"0"
"2720760","20416636.3771734821","b5abf8bccbd611e523d598fae754a8fb","mobile",1,0,0,0,0,"0"
"2819895","1533604.6464624494","3e06a0960cfed1f07820cc9c7ffb3166","mobile",1,0,0,0,0,"0"
"2827476","65521446.0928696061","4b34860d080534568e329f52c0f1867e","desktop",1,0,0,0,0,"0"
"3194694","3134882.4341939233","fb563a3b2dc0d4011a0c7adf050dd9a5","tablet",1,0,0,0,0,"0"
"3233908","88764282.7628193077","74ec940a339ccaac6f472c882d98e696","mobile",1,1,0,0,0,"0"
"3263397","15429209.8197963775","96d1d5d0a804399e02964794c3b02e4c","mobile",1,0,0,0,0,"0"
"3366507","27845520.3180811477","fb563a3b2dc0d4011a0c7adf050dd9a5","mobile",1,0,0,0,0,"0"
"3414902","17654467.8022320872","b5abf8bccbd611e523d598fae754a8fb","desktop",1,0,0,0,0,"0"
"3572023","15839166.7063655745","b5abf8bccbd611e523d598fae754a8fb","mobile",1,0,0,0,0,"0"
